SPECTRUM - MS
D:\BRODBELT_DATA\Kyle\Supercharging\11122021\Ubq\Std\11122021_Ubq_Std_8+_UVPD2m1p.raw
Data points: 497
Mass,Intensity
345.1957,19998.19
372.1627,25969.77
385.2195,39194.87
428.2254,23684.16
491.2562,22664.64
492.264,67094
719.4273,93619.89
746.414,10708.52
763.4407,18767.69
802.4647,78620.31
823.5013,4299.28
866.5562,4660.68
881.5681,3092.08
910.571,5088.13
931.7532,12424.85
937.5808,10445.59
947.5524,7723.83
990.5591,3280.66
1003.6156,33919.3
1008.0646,34724.54
1017.542,38777.17
1017.6188,3202.8
1024.5591,48951.45
1024.8079,34959.15
1026.2177,31175.35
1037.8119,25490.23
1038.5676,29317.64
1041.5708,57655.48
1041.8228,77342.49
1046.6213,15647.41
1055.3233,86794.22
1060.6372,1959.71
1073.6447,6620.36
1089.5817,32908.19
1091.6243,65784.57
1091.7881,70431.18
1097.7951,13009.9
1103.6433,4917.9
1116.6997,33020.47
1131.7103,15001.7
1138.4675,21371.15
1159.7055,12138.05
1161.6848,10201.24
1187.7242,26856.71
1204.6903,2711.44
1217.7469,29224.36
1219.7225,86833.22
1247.1714,37852.16
1248.7154,37468.31
1260.7531,13880.4
1263.7365,35430.65
1267.3593,46336.04
1269.6921,34139.34
1288.771,24032
1302.7597,107596.67
1304.7798,59191.61
1319.7617,9716.33
1319.7889,4072.02
1347.7849,19584.13
1374.8097,5640.17
1376.8119,2264.96
1404.8059,4555.49
1433.8218,69556.54
1433.854,84589.49
1448.8335,15255.85
1460.8297,6797.58
1474.8117,3312.63
1476.8276,33378.45
1477.8672,23951.2
1516.8907,24279.39
1534.9013,22387.95
1561.9172,3726.05
1577.9342,13614.09
1605.9301,12514.7
1607.9361,4794.33
1631.9469,2234.21
1647.9856,61773.14
1689.9753,7304.12
1705.9955,15854.61
1718.0136,20230.26
1732.9769,2926.32
1733.989,11938.53
1777.0282,127646.71
1790.003,1720.47
1803.0584,11827.77
1804.0167,6217.28
1804.076,23184.98
1819.077,2315.3
1846.0638,8347.81
1863.0028,8080.75
1876.0965,262412.45
1917.1017,110612.19
1931.1066,4961.7
1933.1239,15994.94
1946.1277,118316.5
1948.0569,9751.45
1960.1073,21271.81
1971.1001,16888.57
1988.1253,21801.74
2005.1402,460847.61
2013.7387,20403.6
2014.0787,28755.28
2016.7499,8779.09
2022.7567,16642.32
2030.1734,104315.68
2048.6163,53980.61
2080.1643,38867.16
2085.8001,15547.13
2087.6261,10167.66
2089.389,20352.86
2089.8941,13675.63
2090.1307,13657.95
2092.6427,16073.45
2096.1833,15500.35
2123.1701,92387.42
2151.2028,13244.3
2161.6598,12797.65
2165.2047,12859.63
2170.1424,34501.69
2170.4884,37494.01
2183.6754,29791.71
2189.2232,82235.75
2195.1914,27567.31
2210.2003,3529.13
2219.1812,71232.34
2228.5084,54528.84
2238.1957,9521.44
2238.2343,3353.87
2249.1895,4252.79
2266.2143,8958.14
2282.224,51924.91
2297.2309,13728.09
2304.252,129033.57
2318.2284,42472.64
2318.5611,46231.77
2325.2283,25158.92
2332.2416,29490.11
2352.2526,11952.31
2382.2537,8379.33
2387.2848,16018.79
2395.3079,55228.02
2410.3194,41453.32
2416.9478,33193.44
2417.2831,34949.21
2417.6229,22790.89
2422.2853,21850.69
2422.9669,19798.99
2427.6192,17012.17
2429.2843,23403.99
2438.3129,31378.47
2449.3097,4174.46
2465.3497,14781.93
2467.3419,16805.76
2496.3514,81576.22
2497.8758,15922.93
2518.3839,77293.69
2539.3575,15251.29
2652.4509,13582.87
2667.4634,20859.75
2694.4577,6169.35
2706.4614,9295.9
2724.4887,32551.37
2780.5047,8041.82
2824.5045,61453.93
2839.5282,17648.86
2860.5373,20312.32
2867.51,38888.44
2900.5832,5720.98
2920.5943,4953.67
2924.5411,7412.1
2953.5476,15423.95
2968.5591,21327.14
2988.6333,138373.55
2996.559,54427.17
3006.6181,16251.69
3007.125,17517.07
3059.6651,137752.3
3062.1553,10410.7
3066.6265,27174.05
3109.6393,45787.35
3114.1917,13777.67
3141.2001,27155.75
3141.6886,35918.87
3149.1897,8344.02
3187.7741,44541.79
3228.8259,12656.8
3233.7039,10611.89
3239.7079,13201.88
3249.7431,5354.89
3300.8465,240837.72
3319.7565,11435.64
3322.7863,20135.65
3323.7434,10901.57
3337.8017,14611.15
3338.756,19206.37
3356.2743,21704.97
3356.7896,24014.73
3364.7739,13277.98
3366.7451,7631.23
3369.2862,52258.93
3369.7963,64881.7
3370.2894,20815.27
3370.8894,24314.56
3377.8017,19576.39
3378.2953,26082.6
3379.8051,38408.17
3393.8076,64238.09
3394.7788,40993.2
3421.8,41603.81
3428.9064,173119.69
3437.7866,2748.97
3450.8437,128940.53
3462.8405,7385.18
3465.8518,61866.7
3492.8437,53383.17
3504.8403,6669.23
3505.8883,11405.16
3512.3592,37262.03
3512.8533,51289.67
3521.8647,50012.03
3526.3759,14998.09
3526.864,14732.59
3541.8491,6092.99
3544.9469,111103.7
3597.4136,17207.03
3597.9107,104665.85
3611.9135,16442.29
3640.9171,172140.7
3651.9172,4902.74
3655.9515,14904.61
3656.4556,15488.46
3668.9443,23430.51
3672.0285,157463.39
3710.9953,60394.29
3726.0056,14744.32
3753.9975,30509.21
3782.0244,29079.61
3801.0749,13579.6
3824.0786,80460.13
3839.0915,56611.71
3857.091,6590.38
3858.0895,26869.1
3866.091,28778.58
3902.1037,42569.37
3923.1172,4866.47
3927.1911,9141.92
3971.1799,325135.69
3974.1897,29938.18
3982.168,320483.35
